,BlackElo,WhiteElo,moves,move_num,winner,Black_Elo_Num,White_Elo_Num
Game121139,2426,2462,1. d4 d6 2. c4 g6 3. Nc3 Nf6 4. Nf3 Bg7 5. e3 O-O 6. b3 Nc6 7. Bb2 Bg4 8. h3 Bxf3 9. Qxf3 e5 10. O-O-O exd4 11. exd4 a5 12. g4 h5 13. g5 Nh7 14. h4 Re8 15. Bh3 Ne7 16. Kb1 Nf8 17. Ne4 Ne6 18. d5 Nc5 19. Bxg7 Kxg7 20. Qf6+ Kg8 21. Nxc5 dxc5 22. d6 Nf5 23. Bxf5 Qxf6 24. gxf6 gxf5 25. Rhg1+ Kf8 26. dxc7 Rac8 27. Rd7 Re6 28. Rd8+ Re8 29. Rxe8+ Kxe8 30. Re1+ Kd7 31. Re7+ Kd6 32. Rxf7 Ke6 33. Rh7 Kxf6 34. Kc2 Ke5 35. Kd3 Kf4 36. Ke2 b5 37. cxb5 Rxc7 38. Rxc7 Kg4 39. b6 f4 40. b7 f3+ 41. Ke3 Kxh4 42. b8=Q Kh3 43. Qg8 h4 44. Rh7 a4 45. Qg5 Kh2 46. Rxh4#,46,white,2426,2462
Game121199,2473,2417,1. e4 c5 2. Nc3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Nxd4 Bg7 6. Nxc6 dxc6 7. Qxd8+ Kxd8 8. Bg5 Kc7 9. O-O-O h6 10. Bd2 Nf6 11. e5 Nd7 12. f4 Nc5 13. Be3 Ne6 14. Ne4 b6 15. Bc4 Rd8 16. Bxe6 Bxe6 17. Rxd8 Rxd8 18. g3 Bd5 19. Nf2 Bxh1 20. Nxh1 g5 21. Nf2 gxf4 22. Bxf4 e6 23. Ne4 Rd5 24. Nd6 Bxe5 25. Nxf7 Bxf4+ 26. gxf4 Rf5 27. Ne5 Rxf4 28. Kd2 Rf2+ 29. Ke3 Rxh2 30. Nf7 Rxc2 31. Nxh6 Rxb2 32. Ng8 Rxa2 33. Nf6 Kd6 34. Ne8+ Ke5 35. Nc7 Ra3+ 36. Kd2 a5 37. Kc2 Rh3 38. Kb2 b5 39. Na6 a4 40. Nc5 Kd4 41. Nxe6+ Kc4 42. Ng5 Rh2+ 43. Ka3 b4+ 44. Kxa4 Ra2#,44,black,2473,2417
Game121245,2408,2484,1. d4 e6 2. c4 d5 3. Nc3 Nf6 4. cxd5 exd5 5. Bg5 Nc6 6. Qc2 Be7 7. e3 Be6 8. Bb5 g6 9. Nge2 Bf5 10. Qa4 O-O 11. Bxc6 bxc6 12. Qxc6 Ne4 13. Bxe7 Qxe7 14. Nxd5 Qg5 15. O-O Nd2 16. Rfd1 Be4 17. Nf6+ Kg7 18. Nxe4 Nxe4 19. Qxe4 Rfe8 20. Qf3 c5 21. d5 Qe5 22. b3 Qb2 23. Rac1 Qa3 24. d6 Qxa2 25. d7 Red8 26. Rxc5 Qxb3 27. Rcd5 a5 28. Ng3 a4 29. h4 a3 30. h5 a2 31. h6+ Kg8 32. Qf6 Kf8 33. Qg7+ Ke7 34. Re5+ Qe6 35. Rxe6+ Kxe6 36. Ne4 a1=Q 37. Rxa1 Rxa1+ 38. Qxa1 f5 39. Nc5+ Kd5 40. Qd4+ Kc6 41. g3 g5 42. f4 g4 43. Kg2 Kc7 44. Ne6+ Kc6 45. Nxd8+ Kb5 46. Nf7 Kc6 47. d8=Q Kb7 48. Q8b6+ Kc8 49. Qdd8#,49,white,2408,2484
Game121315,2494,2400,1. e4 c5 2. Nc3 Nc6 3. Nf3 g6 4. d4 cxd4 5. Nxd4 Bg7 6. Nxc6 bxc6 7. Bc4 Nf6 8. e5 Nd5 9. Nxd5 cxd5 10. Qxd5 O-O 11. Qxa8 Qa5+ 12. c3 Ba6 13. Qe4 Bxc4 14. Qxc4 Qxe5+ 15. Be3 Rb8 16. O-O Rxb2 17. Qc8+,17,white,2494,2400
Game121335,2413,2478,1. h4 d6 2. h5 Nf6 3. h6 gxh6 4. d4 Nc6 5. Bxh6 Bxh6 6. Rxh6 Ng4 7. Rh4 Nf6 8. Nf3 e5 9. dxe5 dxe5 10. Qxd8+ Kxd8 11. Nc3 Bg4 12. O-O-O+ Kc8 13. e3 Bxf3 14. gxf3 a6 15. Bh3+ Kb8 16. Rh6 Ne8 17. Bd7 Nd6 18. Bxc6 bxc6 19. Ne4 Nf5 20. Rf6 Ne7 21. Rxf7 Nd5 22. c4 Nb6 23. c5 Nd5 24. Nf6 Nxf6 25. Rxf6 h5 26. Rd7 h4 27. Rff7 Ra7 28. Rh7 Rf8 29. Rdf7 Rg8 30. Rxh4 Rg2 31. Rh8+ Kb7 32. Rhh7 Kc8 33. f4 Rxf2 34. fxe5 Re2 35. e6 Rxe3 36. Rf8+ Kb7 37. e7 Rxe7 38. Rxe7 a5 39. Rff7 Ka6 40. Rxc7 Ra8 41. Rb7 Rd8 42. Rb6#,42,white,2413,2478
Game121385,2488,2405,1. d4 Nf6 2. Nc3 g6 3. Nf3 Bg7 4. e4 e6 5. e5 Nd5 6. Nxd5 exd5 7. c4 dxc4 8. Bxc4 O-O 9. Bg5 Qe8 10. O-O Kh8 11. Bf6 Nc6 12. Bxg7+ Kxg7 13. Re1 b6 14. d5 Na5 15. Bd3 Bb7 16. b4 Bxd5 17. bxa5 Qe6 18. Be4 Bxe4 19. Rxe4 bxa5 20. Nd4 Qd5 21. Qd3 Kg8 22. Qe3 Rfe8 23. Re1 Rab8 24. Nf3 Rb2 25. Qh6 Qc5 26. Rf1 f6 27. e6 dxe6 28. Rh4 Re7 29. h3 e5 30. Ne1 e4 31. g3 e3 32. f4 Qd5 33. Nf3 Rf2 34. Rxf2 exf2+ 35. Kxf2 Qxa2+ 36. Kf1 Qb1+ 37. Kf2 Qc2+ 38. Kf1 Qe2+ 39. Kg1 Qxf3 40. Qxh7+ Rxh7 41. Rh6 Rxh6 42. Kh2 Qf2+ 43. Kh1 Rxh3#,43,black,2488,2405
Game179851,2617,2526,1. e4 e6 2. d4 Nf6 3. Nd2 d5 4. e5 Nfd7 5. Bd3 c5 6. c3 Nc6 7. Ne2 Qb6 8. Nf3 c4 9. Bc2 a5 10. O-O Qa6 11. Ne1 b5 12. f4 g6 13. Nf3 Be7 14. Kh1 b4 15. g4 Nb6 16. Ng3 Bd7 17. f5 O-O-O 18. Bh6 gxf5 19. gxf5 Bf8 20. Bxf8 Rdxf8 21. f6 Rfg8 22. Rg1 Qb5 23. Nh5 Nd8 24. Rg7 Kb8 25. Bxh7 Rf8 26. Ng5 Be8 27. Qd2 Na4 28. Rb1 bxc3 29. bxc3 Rxh7 30. Rxb5+,30,white,2617,2526
Game248613,2424,2403,1. Nf3 d6 2. d4 g6 3. c4 Bg7 4. Nc3 h5 5. e4 Nc6 6. d5 Ne5 7. Nxe5 Bxe5 8. Bd3 Bxc3+ 9. bxc3 e5 10. f4 exf4 11. Bxf4 Qh4+ 12. Bg3 Qf6 13. Qd2 Nh6 14. Rf1 Qg7 15. h3 f6 16. O-O-O Nf7 17. e5 Nxe5 18. c5 O-O 19. cxd6 cxd6 20. Kb1 a6 21. c4 Nxd3 22. Qxd3 Bf5 23. Rxf5 gxf5 24. Bxd6 Rfe8 25. c5 f4 26. Bxf4 Qh7 27. Qxh7+ Kxh7 28. c6 bxc6 29. dxc6 Re7 30. c7 Rc8 31. Rc1 Kg6 32. g3 Kf5 33. h4 Ke6 34. Rc6+ Kd5 35. Rxa6 Rexc7 36. Bxc7 Rxc7 37. Rxf6 Rg7 38. Rh6 Rxg3 39. Rxh5+ Kc4 40. Rg5 Rh3 41. Rg1 Kc3 42. Rc1+ Kb4 43. Ka1 Rxh4 44. Rb1+ Ka3 45. Rc1 Rh3 46. Rb1 Rh2 47. Rb3+ Ka4 48. Rb1 Rf2 49. Rb2 Rf1+ 50. Rb1 Rf3 51. Rb2 Rf1+ 52. Rb1 Rf4 53. Rb2 Ka3 54. Rb1 Rf2 55. Rb2 Rf1+ 56. Rb1 Rf3 57. Rb3+ Ka4,57,black,2424,2403
Game249082,2426,2401,1. Nf3 d6 2. d4 g6 3. e4 h6 4. Bc4 a6 5. O-O e6 6. Nc3 b5 7. Bb3 Bb7 8. d5 e5 9. a4 b4 10. Na2 a5 11. Be3 Nd7 12. Nc1 Bg7 13. Nd3 Ne7 14. Nd2 O-O 15. Nc4 f5 16. exf5 Nxf5 17. Qd2 Nxe3 18. fxe3 Qh4 19. Ne1 Nf6 20. Nf3 Qh5 21. Qe2 Bxd5 22. Rad1 Bf7 23. h3 Ne4 24. Ncd2 Ng3 25. Bxf7+ Rxf7 26. Qc4 Nxf1 27. Rxf1 Rf8 28. Ne4 Kh8 29. Ng3 Rxf3 30. Rxf3 Qg5 31. h4 Rxf3 32. hxg5 Rxg3 33. gxh6 Bxh6 34. Qxc7 Bxe3+ 35. Kf1 Rg5 36. Qxa5 b3 37. Qd8+ Kh7 38. cxb3 Rf5+ 39. Ke2 Bc5 40. Qh4+ Rh5 41. Qe7+ Kh6 42. a5 Rg5 43. Qf8+ Kh7 44. b4 Rxg2+ 45. Kf1 Rf2+ 46. Qxf2 Bxb4 47. Qh4+ Kg7 48. a6 Bc5 49. Qe7+ Kh6 50. a7 Bxa7,50,black,2426,2401
Game249211,2424,2403,1. Nf3 d5 2. d4 Nf6 3. c4 Nc6 4. cxd5 Qxd5 5. Nc3 Qd8 6. d5 Nb8 7. e4 g6 8. e5 Ng8 9. Bc4 Bg7 10. Bf4 Nh6 11. Qd2 Nf5 12. g4 g5 13. Bxg5 h6 14. Bf4 Nh4 15. Nxh4 e6 16. Nf3 exd5 17. Nxd5 Be6 18. O-O-O Nc6 19. Rhe1 Bxg4 20. Re3 O-O 21. Rg1 Bxf3 22. Rxf3 Kh8 23. Rxg7 Kxg7 24. Bxh6+ Kh7 25. Nf6+ Kh8 26. Rh3 Qc8 27. Bg7+ Kxg7 28. Qh6#,28,white,2424,2403
